n_control,alloc_ratio,SSR,beta,scena,alpha
16,1,no,0.1,1,0.0243
30,1,no,0.1,2,0.0247
60,1,no,0.1,3,0.0276
120,1,no,0.1,4,0.0242
1000,1,no,0.1,5,0.0243
2000,1,no,0.1,6,0.0236
16,2,no,0.1,7,0.0252
30,2,no,0.1,8,0.0258
60,2,no,0.1,9,0.0251
120,2,no,0.1,10,0.028
1000,2,no,0.1,11,0.0253
2000,2,no,0.1,12,0.0249
16,1,yes,0.1,13,0.0256
30,1,yes,0.1,14,0.0265
60,1,yes,0.1,15,0.0268
120,1,yes,0.1,16,0.0234
1000,1,yes,0.1,17,0.0226
2000,1,yes,0.1,18,0.0258
16,2,yes,0.1,19,0.0266
30,2,yes,0.1,20,0.0245
60,2,yes,0.1,21,0.0252
120,2,yes,0.1,22,0.0289
1000,2,yes,0.1,23,0.0254
2000,2,yes,0.1,24,0.0226
16,1,no,0.2,25,0.0243
30,1,no,0.2,26,0.0247
60,1,no,0.2,27,0.0276
120,1,no,0.2,28,0.0242
1000,1,no,0.2,29,0.0243
2000,1,no,0.2,30,0.0236
16,2,no,0.2,31,0.0252
30,2,no,0.2,32,0.0258
60,2,no,0.2,33,0.0251
120,2,no,0.2,34,0.028
1000,2,no,0.2,35,0.0253
2000,2,no,0.2,36,0.0249
16,1,yes,0.2,37,0.0253
30,1,yes,0.2,38,0.0261
60,1,yes,0.2,39,0.0267
120,1,yes,0.2,40,0.0238
1000,1,yes,0.2,41,0.0228
2000,1,yes,0.2,42,0.0255
16,2,yes,0.2,43,0.0272
30,2,yes,0.2,44,0.025
60,2,yes,0.2,45,0.0251
120,2,yes,0.2,46,0.0286
1000,2,yes,0.2,47,0.0254
2000,2,yes,0.2,48,0.0227
