alloc_ratio,SSR,theta_k,beta,n_control,shrink_factor,scena,power,mean_new_N_ct,max_N_ct
1,no,0.2,0.1,220,1,1,0.899,191.158,220
2,no,0.2,0.1,166,1,2,0.9037,143.3825,166
1,yes,0.2,0.1,220,1,3,0.9938,353.1498,440
2,yes,0.2,0.1,166,1,4,0.9937,263.9053,332
1,no,0.5,0.1,36,1,5,0.8962,31.806,36
2,no,0.5,0.1,28,1,6,0.9059,24.549,28
1,yes,0.5,0.1,36,1,7,0.9912,59.0584,72
2,yes,0.5,0.1,28,1,8,0.9946,45.3536,56
1,no,0.8,0.1,14,1,9,0.8831,12.866,14
2,no,0.8,0.1,12,1,10,0.9193,10.7268,12
1,yes,0.8,0.1,14,1,11,0.9916,23.587,28
2,yes,0.8,0.1,12,1,12,0.997,19.5462,24
1,no,0.2,0.2,164,1,13,0.7973,149.9042,164
2,no,0.2,0.2,124,1,14,0.8016,113.0446,124
1,yes,0.2,0.2,164,1,15,0.9667,283.1664,328
2,yes,0.2,0.2,124,1,16,0.9686,213.0898,248
1,no,0.5,0.2,28,1,17,0.8043,25.8314,28
2,no,0.5,0.2,20,1,18,0.7803,18.578,20
1,yes,0.5,0.2,28,1,19,0.9749,48.1942,56
2,yes,0.5,0.2,20,1,20,0.9675,34.8442,40
1,no,0.8,0.2,12,1,21,0.8095,11.2638,12
2,no,0.8,0.2,8,1,22,0.7675,7.5408,8
1,yes,0.8,0.2,12,1,23,0.9799,20.1126,24
2,yes,0.8,0.2,8,1,24,0.9654,13.6468,16
1,no,0.2,0.1,132,0.6,25,0.7019,123.948,132
2,no,0.2,0.1,100,0.6,26,0.712,94.045,100
1,yes,0.2,0.1,132,0.6,27,0.9239,239.7148,264
2,yes,0.2,0.1,100,0.6,28,0.9318,182.0186,200
1,no,0.5,0.1,22,0.6,29,0.6964,20.8824,22
2,no,0.5,0.1,18,0.6,30,0.744,16.9569,18
1,yes,0.5,0.1,22,0.6,31,0.9327,40.2898,44
2,yes,0.5,0.1,18,0.6,32,0.9497,32.6199,36
1,no,0.8,0.1,10,0.6,33,0.7268,9.45,10
2,no,0.8,0.1,8,0.6,34,0.7675,7.5408,8
1,yes,0.8,0.1,10,0.6,35,0.9512,17.6002,20
2,yes,0.8,0.1,8,0.6,36,0.967,14.057,16
1,no,0.2,0.2,100,0.6,37,0.5792,95.93,100
2,no,0.2,0.2,76,0.6,38,0.5811,72.8992,76
1,yes,0.2,0.2,100,0.6,39,0.8434,186.6294,200
2,yes,0.2,0.2,76,0.6,40,0.8448,141.8078,152
1,no,0.5,0.2,18,0.6,41,0.6055,17.3421,18
2,no,0.5,0.2,12,0.6,42,0.554,11.6472,12
1,yes,0.5,0.2,18,0.6,43,0.8801,33.0497,36
2,yes,0.5,0.2,12,0.6,44,0.8337,22.3608,24
1,no,0.8,0.2,8,0.6,45,0.6345,7.2352,8
2,no,0.8,0.2,6,0.6,46,0.6409,5.4774,6
1,yes,0.8,0.2,8,0.6,47,0.8876,13.249,16
2,yes,0.8,0.2,6,0.6,48,0.8929,10.108,12
