alloc_ratio,SSR,theta_k,beta,n_control,shrink_factor,power,mean_new_N_ct,max_N_ct
1,no,0.2,0.1,220,1,0.898086,193.81032,220
2,no,0.2,0.1,166,1,0.899814,145.893167,166
1,yes,0.2,0.1,220,1,0.99305,361.405558,440
2,yes,0.2,0.1,166,1,0.993223,271.672263,332
1,no,0.5,0.1,36,1,0.890719,32.938344,36
2,no,0.5,0.1,28,1,0.903497,25.287164,28
1,yes,0.5,0.1,36,1,0.993005,61.941822,72
2,yes,0.5,0.1,28,1,0.994341,47.391608,56
1,no,0.8,0.1,14,1,0.856439,13.553442,14
2,no,0.8,0.1,12,1,0.909987,11.289138,12
1,yes,0.8,0.1,14,1,0.989235,24.631264,28
2,yes,0.8,0.1,12,1,0.995984,20.625494,24
1,no,0.2,0.2,164,1,0.794583,151.720336,164
2,no,0.2,0.2,124,1,0.79873,114.494346,124
1,yes,0.2,0.2,164,1,0.968045,287.644298,328
2,yes,0.2,0.2,124,1,0.968896,216.987456,248
1,no,0.5,0.2,28,1,0.795158,26.639186,28
2,no,0.5,0.2,20,1,0.778685,19.06043,20
1,yes,0.5,0.2,28,1,0.971805,49.54888,56
2,yes,0.5,0.2,20,1,0.965794,35.736206,40
1,no,0.8,0.2,12,1,0.786432,11.78745,12
2,no,0.8,0.2,8,1,0.736857,7.883308,8
1,yes,0.8,0.2,12,1,0.972457,20.714218,24
2,yes,0.8,0.2,8,1,0.955882,14.154572,16
1,no,0.2,0.1,132,0.6,0.702972,125.066106,132
2,no,0.2,0.1,100,0.6,0.708378,94.5942,100
1,yes,0.2,0.1,132,0.6,0.927396,243.127052,264
2,yes,0.2,0.1,100,0.6,0.929996,183.750648,200
1,no,0.5,0.1,22,0.6,0.683124,21.414294,22
2,no,0.5,0.1,18,0.6,0.730053,17.335908,18
1,yes,0.5,0.1,22,0.6,0.926162,41.389388,44
2,yes,0.5,0.1,18,0.6,0.947734,33.528368,36
1,no,0.8,0.1,10,0.6,0.688488,9.916655,10
2,no,0.8,0.1,8,0.6,0.736857,7.883308,8
1,yes,0.8,0.1,10,0.6,0.940777,18.220501,20
2,yes,0.8,0.1,8,0.6,0.958248,14.653374,16
1,no,0.2,0.2,100,0.6,0.580965,96.66305,100
2,no,0.2,0.2,76,0.6,0.586471,73.370476,76
1,yes,0.2,0.2,100,0.6,0.843319,188.318918,200
2,yes,0.2,0.2,76,0.6,0.848208,142.942962,152
1,no,0.5,0.2,18,0.6,0.584622,17.723799,18
2,no,0.5,0.2,12,0.6,0.534637,11.845386,12
1,yes,0.5,0.2,18,0.6,0.862981,33.609219,36
2,yes,0.5,0.2,12,0.6,0.82125,22.664012,24
1,no,0.8,0.2,8,0.6,0.558642,7.975308,8
2,no,0.8,0.2,6,0.6,0.576091,5.973846,6
1,yes,0.8,0.2,8,0.6,0.862402,14.248874,16
2,yes,0.8,0.2,6,0.6,0.872931,10.848794,12
